time(s);battery;obc;eps;communication;sdatf;slp;smdh
492;2,17552;On;On;Receiver;Off;Off;Off
493;2,1750166;On;On;Receiver;Off;Off;Off
494;2,1745133;On;On;Receiver;Off;Off;Off
495;2,17401;On;On;Receiver;Off;Off;Off
496;2,1735067;On;On;Receiver;Off;Off;Off
497;2,1730034;On;On;Receiver;Off;Off;Off
498;2,1725;On;On;Receiver;Off;Off;Off
499;2,1719966;On;On;Receiver;Off;Off;Off
500;2,1714933;On;On;Receiver;Off;Off;Off
501;2,17099;On;On;Receiver;Off;Off;Off
502;2,1704867;On;On;Receiver;Off;Off;Off
503;2,1699834;On;On;Receiver;Off;Off;Off
504;2,16948;On;On;Receiver;Off;Off;Off
505;2,1689768;On;On;Receiver;Off;Off;Off
506;2,1684732;On;On;Receiver;Off;Off;Off
507;2,16797;On;On;Receiver;Off;Off;Off
508;2,1674666;On;On;Receiver;Off;Off;Off
509;2,1669633;On;On;Receiver;Off;Off;Off
510;2,16646;On;On;Receiver;Off;Off;Off
511;2,1659567;On;On;Receiver;Off;Off;Off
512;2,1654534;On;On;Receiver;Off;Off;Off
513;2,16495;On;On;Receiver;Off;Off;Off
514;2,1644466;On;On;Receiver;Off;Off;Off
515;2,1639433;On;On;Receiver;Off;Off;Off
516;2,16344;On;On;Receiver;Off;Off;Off
517;2,1629367;On;On;Receiver;Off;Off;Off
518;2,1624334;On;On;Receiver;Off;Off;Off
519;2,16193;On;On;Receiver;Off;Off;Off
520;2,1614268;On;On;Receiver;Off;Off;Off
521;2,1609232;On;On;Receiver;Off;Off;Off
522;2,16042;On;On;Receiver;Off;Off;Off
523;2,1599166;On;On;Receiver;Off;Off;Off
524;2,1594133;On;On;Receiver;Off;Off;Off
525;2,15891;On;On;Receiver;Off;Off;Off
526;2,1584067;On;On;Receiver;Off;Off;Off
527;2,1579034;On;On;Receiver;Off;Off;Off
528;2,1574;On;On;Receiver;Off;Off;Off
529;2,1568966;On;On;Receiver;Off;Off;Off
530;2,1563933;On;On;Receiver;Off;Off;Off
531;2,15589;On;On;Receiver;Off;Off;Off
532;2,1553867;On;On;Receiver;Off;Off;Off
